Date,Open,High,Low,Close,Adj Close,Volume
2023-09-04,25968.271484375,26018.638671875,25692.978515625,25805.533203125,25805.533203125,100140685
2023-09-05,25806.205078125,25872.544921875,25613.1640625,25772.22265625,25772.22265625,85000583
2023-09-06,25772.5,25966.32421875,25516.74609375,25748.51953125,25748.51953125,129957754
2023-09-07,25749.71875,26335.0234375,25660.494140625,26211.12890625,26211.12890625,129871034
2023-09-08,26212.572265625,26333.55859375,25746.83203125,25904.873046875,25904.873046875,95378892
2023-09-09,25904.837890625,25906.611328125,25843.2890625,25901.44140625,25901.44140625,49228384
2023-09-10,25901.521484375,25931.06640625,25671.865234375,25855.58203125,25855.58203125,101825957
2023-09-11,25855.388671875,25863.322265625,24998.080078125,25133.201171875,25133.201171875,150842399
2023-09-12,25133.072265625,26349.0,25133.072265625,25883.24609375,25883.24609375,189804185
2023-09-13,25882.9609375,26305.732421875,25856.8125,26227.7421875,26227.7421875,123758585
2023-09-14,26227.87890625,26706.21875,26200.189453125,26551.033203125,26551.033203125,138183680
2023-09-15,26550.359375,26824.791015625,26282.28125,26677.96875,26677.96875,143759823
2023-09-16,26676.958984375,26728.203125,26530.0546875,26558.818359375,26558.818359375,152730447
2023-09-17,26558.302734375,26595.525390625,26457.728515625,26488.26953125,26488.26953125,97428505
2023-09-18,26488.5078125,27359.734375,26432.572265625,26786.359375,26786.359375,107068869
2023-09-19,26787.30078125,27393.919921875,26711.744140625,27182.59765625,27182.59765625,113922826
2023-09-20,27183.646484375,27304.18359375,26903.009765625,27101.34765625,27101.34765625,139438663
2023-09-21,27100.5859375,27102.431640625,26413.2578125,26552.052734375,26552.052734375,95692335
2023-09-22,26551.201171875,26678.2578125,26517.82421875,26570.8359375,26570.8359375,72910450
2023-09-23,26572.302734375,26595.724609375,26541.41015625,26559.427734375,26559.427734375,58329073
2023-09-24,26559.103515625,26661.7421875,26252.396484375,26255.166015625,26255.166015625,62829730
2023-09-25,26255.04296875,26365.498046875,26037.025390625,26290.861328125,26290.861328125,86862912
2023-09-26,26291.380859375,26340.71875,26138.216796875,26202.09765625,26202.09765625,178617035
2023-09-27,26202.001953125,26769.80859375,26160.544921875,26310.53515625,26310.53515625,114650724
2023-09-28,26310.015625,27193.40234375,26310.015625,27021.09765625,27021.09765625,161622256
2023-09-29,27021.4296875,27196.767578125,26808.322265625,26903.923828125,26903.923828125,105883441
2023-09-30,26904.025390625,27068.923828125,26900.578125,26990.626953125,26990.626953125,109604795
2023-10-01,26990.228515625,27962.91015625,26981.23046875,27946.125,27946.125,189230638
2023-10-02,27946.046875,28427.02734375,27416.59375,27553.69921875,27553.69921875,232221615
2023-10-03,27547.423828125,27618.0625,27279.796875,27421.6953125,27421.6953125,85888618
2023-10-04,27422.328125,27758.42578125,27272.166015625,27758.42578125,27758.42578125,155344127
2023-10-05,27758.0390625,27985.607421875,27411.609375,27411.609375,27411.609375,202274525
2023-10-06,27410.521484375,28103.701171875,27289.15234375,27954.517578125,27954.517578125,92916388
2023-10-07,27954.396484375,27975.607421875,27889.8359375,27946.70703125,27946.70703125,54084314
2023-10-08,27944.416015625,28057.638671875,27779.83203125,27928.8359375,27928.8359375,55331666
2023-10-09,27928.720703125,27954.01171875,27310.48046875,27583.494140625,27583.494140625,93487851
2023-10-10,27582.501953125,27685.552734375,27330.470703125,27405.306640625,27405.306640625,44099762
2023-10-11,27403.55859375,27446.40625,26641.322265625,26828.072265625,26828.072265625,73852507
2023-10-12,26828.716796875,26874.376953125,26582.00390625,26725.005859375,26725.005859375,63315292
2023-10-13,26726.078125,27058.521484375,26700.75390625,26854.20703125,26854.20703125,49939998
2023-10-14,26854.9453125,26929.0,26837.41796875,26866.275390625,26866.275390625,26845758
2023-10-15,26866.314453125,27211.080078125,26831.634765625,27109.400390625,27109.400390625,42664669
